Type;StatusCode;TalendDate;ActivityDate;moving_time;distance;total_elevation_gain;distance_original;gear_id;average_cadence;averange_heartrate;average_watts;weighted_watts
ACTIVITY;200;2020-10-15 14:43:06;2020-09-13;3:42:11;122;636;122167.0;b8003037;80;161.5;180.5;212
ACTIVITY;200;2020-10-15 14:43:06;2020-09-12;4:49:44;120;2733;119997.0;b8003037;75;160.4;179.5;207
ACTIVITY;200;2020-10-15 14:45:02;2020-10-14;1:10:59;25;367;69.6;b8003037;70;126.8;102.5;
ACTIVITY;200;2020-10-15 14:45:02;2020-10-13;1:24:45;38;782;75.6;b8003037;75;152.4;182.5;245
ACTIVITY;200;2020-10-15 14:45:02;2020-10-12;1:22:36;37;787;73.7;b8003037;73;154.7;195.7;257
ACTIVITY;200;2020-10-15 14:45:02;2020-10-10;7:48:52;145;3823;65.0;b7481036;65;139.5;150.4;
ACTIVITY;200;2020-10-15 14:45:02;2020-10-08;1:22:5;38;827;77.2;b8003037;78;156.9;194.3;252
ACTIVITY;200;2020-10-15 14:45:02;2020-10-07;1:9:46;35;354;80.5;b8003037;80;147.2;158.3;221
ACTIVITY;200;2020-10-15 14:45:02;2020-10-06;1:18:29;38;677;78.3;b8003037;79;155.5;183.6;250
ACTIVITY;200;2020-10-15 14:45:02;2020-10-05;1:21:21;34;738;73.9;b8003037;73;146.2;162.8;224
ACTIVITY;200;2020-10-15 14:45:02;2020-10-04;4:31:16;104;2673;73.1;b8003037;73;148.2;162.1;206
ACTIVITY;200;2020-10-15 14:45:02;2020-10-03;1:56:55;57;469;81.5;b8003037;81;150.9;160.3;216
ACTIVITY;200;2020-10-15 14:45:02;2020-10-01;1:13:1;33;713;76.5;b8003037;77;152.3;175.1;252
ACTIVITY;200;2020-10-15 14:45:02;2020-09-30;1:5:38;32;243;82.1;b8003037;82;137.2;146.0;188
ACTIVITY;200;2020-10-15 14:45:02;2020-09-29;1:13:1;34;639;79.3;b8003037;80;154.9;188.5;244
ACTIVITY;200;2020-10-15 14:45:02;2020-09-28;1:2:11;27;499;74.4;b8003037;74;142.9;160.0;228
ACTIVITY;200;2020-10-15 14:45:02;2020-09-27;3:29:48;100;1022;80.3;b8003037;80;143.0;149.5;188
ACTIVITY;200;2020-10-15 14:45:02;2020-09-26;7:50:31;171;4016;72.8;b8003037;72;145.8;142.6;192
ACTIVITY;200;2020-10-15 14:45:02;2020-09-25;1:1:42;30;267;81.6;b8003037;81;150.9;150.2;191
ACTIVITY;200;2020-10-15 14:45:02;2020-09-24;1:2:11;22;320;73.1;b7481036;73;135.4;143.5;
ACTIVITY;200;2020-10-15 14:45:02;2020-09-23;1:7:54;19;553;61.5;b7481036;61;131.3;137.5;
ACTIVITY;200;2020-10-15 14:45:02;2020-09-22;3:41:47;67;1802;64.1;b7481036;64;138.2;151.4;
ACTIVITY;200;2020-10-15 14:45:02;2020-09-22;0:42:57;21;211;82.2;b8003037;82;147.6;158.2;206
ACTIVITY;200;2020-10-15 14:45:02;2020-09-20;1:15:39;31;727;74.5;b8003037;74;144.2;168.8;208
ACTIVITY;200;2020-10-15 14:45:02;2020-09-19;4:2:50;111;1740;78.1;b8003037;79;149.7;179.8;210
ACTIVITY;200;2020-10-15 14:45:02;2020-09-18;1:41:14;42;1001;76.7;b8003037;77;148.4;178.8;237
ACTIVITY;200;2020-10-15 14:45:02;2020-09-17;1:13:56;33;620;76.4;b8003037;77;158.4;186.6;253
ACTIVITY;200;2020-10-15 14:45:02;2020-09-16;1:3:28;23;394;71.6;b7481036;71;136.6;152.1;
ACTIVITY;200;2020-10-15 14:45:02;2020-09-15;1:3:20;23;462;67.1;b7481036;68;145.9;163.6;
ACTIVITY;200;2020-10-15 14:45:02;2020-09-14;1:5:9;31;206;79.6;b8003037;80;133.9;135.3;158
ACTIVITY;200;2020-10-15 14:45:02;2020-09-13;3:42:11;122;636;80.4;b8003037;80;161.5;180.5;212
ACTIVITY;200;2020-10-15 14:45:02;2020-09-12;4:49:44;120;2733;75.2;b8003037;75;160.4;179.5;207
ACTIVITY;200;2020-10-15 14:50:59;2020-10-14;1:10:59;25;367;69.6;b8003037;70;126.8;102.5;
ACTIVITY;200;2020-10-15 14:50:59;2020-10-13;1:24:45;38;782;75.6;b8003037;76;152.4;182.5;245
ACTIVITY;200;2020-10-15 14:50:59;2020-10-12;1:22:36;37;787;73.7;b8003037;74;154.7;195.7;257
ACTIVITY;200;2020-10-15 14:50:59;2020-10-10;7:48:52;145;3823;65.0;b7481036;65;139.5;150.4;
ACTIVITY;200;2020-10-15 14:50:59;2020-10-08;1:22:5;38;827;77.2;b8003037;77;156.9;194.3;252
ACTIVITY;200;2020-10-15 14:50:59;2020-10-07;1:9:46;35;354;80.5;b8003037;80;147.2;158.3;221
ACTIVITY;200;2020-10-15 14:50:59;2020-10-06;1:18:29;38;677;78.3;b8003037;78;155.5;183.6;250
ACTIVITY;200;2020-10-15 14:50:59;2020-10-05;1:21:21;34;738;73.9;b8003037;74;146.2;162.8;224
ACTIVITY;200;2020-10-15 14:50:59;2020-10-04;4:31:16;104;2673;73.1;b8003037;73;148.2;162.1;206
ACTIVITY;200;2020-10-15 14:50:59;2020-10-03;1:56:55;57;469;81.5;b8003037;81;150.9;160.3;216
ACTIVITY;200;2020-10-15 14:50:59;2020-10-01;1:13:1;33;713;76.5;b8003037;76;152.3;175.1;252
ACTIVITY;200;2020-10-15 14:50:59;2020-09-30;1:5:38;32;243;82.1;b8003037;82;137.2;146.0;188
ACTIVITY;200;2020-10-15 14:50:59;2020-09-29;1:13:1;34;639;79.3;b8003037;79;154.9;188.5;244
ACTIVITY;200;2020-10-15 14:50:59;2020-09-28;1:2:11;27;499;74.4;b8003037;74;142.9;160.0;228
ACTIVITY;200;2020-10-15 14:50:59;2020-09-27;3:29:48;100;1022;80.3;b8003037;80;143.0;149.5;188
